Date string types
date/time of service
date of procedure
registration date
dt/tm of service
servie date/time
dates of service
date of service
procedure date
discharge date
service dates
dt of service
service dt/tm
service date
request date
order dt/tm
dischg date
service dt
admit date
start date
order date
exam date
admit dt
adm date
end date
dis date
dis dt
dos:
adm:
d/c:
discharge/service
admission date
admitted
visit date
date of visit
service_date
EFF DATE :
ADM DATE
RUN DATE
DRG STATUS DATE
ABS STATUS DATE
Date of admission:
Observation Start Date
Discharge date
DATE OF ADMISSION:
DATE OF DISCHARGE:
Visit Date
DATE OF CONSULTATION
Hospital course to date:
Run Date/Time:
Date Run
Order Date:
Date of Birth:
Oper Date:
Last Updated:
Last solids date:
Last liquids date:
Completed Date
expiration date:
Study Date
ADMIT DATE
Activity Date
Date of last dressing change:
Admit Date/Time:
Result Date:
Date of Visit:
Admission Date
Date of Onset:
Transfusion Date:
Evaluation Date:
EXPIRATION DATE:
DATE AND TIME:
Performance Date:
Requesting Date:
Date of Collection
Requested Date:
Date Written:
Collect Date:
Receipt Date:
Procedure Date:
Date of Study:
Arrival Date:
Triage Date:
CONSULTATION DATE:
